applicant_id,applicant_city,posid,year,aptdummy,female,black,juddummy,instatel,pubpvt,millerd,barnesd,perdued,deald,confirmed_atty_donor,political_donor,experience,sq_exp,gov_timely_donor,gov_nom_ideo_distance,n_times_applied_4_judgeships,number_applicants,median_lsat,gov_donor_amount,imputed_gov_nom_ideo_distance,bivariate_posid_missing,graph_aptdummy,model2_listwise,graph_aptdummym2,model3_listwise,graph_aptdummym3
1406,atlanta,1020,2012,0,0,0,0,1,0,0,0,0,1,,0,37,1369,0,,3,31,165,0,1.1396427,1,,1,,,0
2208,calhoun,1020,2012,0,0,0,1,1,0,0,0,0,1,confirmed attorney,1,28,784,0,.75321144,2,31,165,0,.75321144,1,,1,,,0
902,atlanta,1020,2012,0,1,0,0,1,1,0,0,0,1,,0,20,400,0,,1,31,165,0,1.1396427,1,,1,,,0
2605,decatur,1020,2012,0,0,0,1,1,1,0,0,0,1,,0,37,1369,0,,1,31,145,0,1.5414283,1,,1,,,0
2343,marietta,1020,2012,0,1,0,1,1,0,0,0,0,1,confirmed attorney,1,30,900,0,.094342165,5,31,165,0,.094342165,1,,1,,,0
2622,atlanta,1020,2012,0,0,0,0,1,0,0,0,0,1,confirmed attorney,1,27,729,0,.68950599,6,31,160,0,.68950599,1,,1,,,0
364,savannah,1020,2012,0,0,0,0,1,0,0,0,0,1,,0,22,484,0,,1,31,165,0,1.0626929,1,,1,,,0
2116,macon,1020,2012,0,0,0,0,1,0,0,0,0,1,confirmed attorney,1,16,256,0,.1999989,1,31,165,0,.1999989,1,,1,,,0
1754,savannah,1020,2012,0,0,0,0,1,0,0,0,0,1,,0,26,676,0,,3,31,165,0,1.0626929,1,,1,,,0
868,lawrenceville,1020,2012,0,0,0,0,1,0,0,0,0,1,,0,24,576,0,,4,31,160,0,1.0113924,1,,1,,,0
2596,forsyth,1020,2012,0,0,0,0,1,1,0,0,0,1,unknown career,1,26,676,0,.55527776,2,31,155,0,.55527776,1,,1,,,0
2466,douglasville,1020,2012,0,1,0,1,1,0,0,0,0,1,unknown career,1,27,729,0,.68736756,2,31,160,0,.68736756,1,,1,,,0
585,marietta,1020,2012,0,0,0,0,1,0,0,0,0,1,confirmed attorney,1,30,900,0,.71188116,6,31,165,0,.71188116,1,,1,,,0
205,atlanta,1020,2012,1,0,0,0,1,0,0,0,0,1,,0,13,169,0,,2,31,165,0,1.1396427,1,,1,,,.2
2594,atlanta,1020,2012,0,0,0,0,0,0,0,0,0,1,,0,9,81,0,,1,31,160,0,1.1396427,1,,1,,,0
1985,lawrenceville,1020,2012,0,0,0,1,1,0,0,0,0,1,confirmed attorney,1,23,529,0,.23054568,6,31,165,0,.23054568,1,,1,,,0
2272,marietta,1020,2012,0,1,0,1,1,0,0,0,0,1,unknown career,1,35,1225,0,.024560206,5,31,165,0,.024560206,1,,1,,,0
